wavelength,x,y,z
0.0,3.603515625,0.560546875,-4.564453125
0.0005,2.6826171875,1.521484375,-4.724609375
0.001,2.0419921875,2.40234375,-4.884765625
0.0015,1.12109375,3.603515625,-5.1650390625
0.002,0.2802734375,3.84375,-4.484375
0.0025,-0.640625,4.484375,-4.2041015625
0.003,-1.6015625,4.5244140625,-3.283203125
0.0035,-2.4423828125,4.8046875,-2.72265625
0.004,-3.68359375,4.96484375,-1.6416015625
0.0045,-4.4443359375,4.9248046875,-0.9208984375
0.005,-4.64453125,4.1240234375,0.1201171875
0.0055,-5.125,3.8837890625,0.7607421875
0.006,-5.0048828125,2.802734375,1.7216796875
0.0065,-5.125,2.2822265625,2.322265625
0.007,-5.28515625,1.28125,3.5234375
0.0075,-4.8447265625,0.560546875,3.763671875
0.008,-4.3642578125,-0.5205078125,4.32421875
0.0085,-3.7236328125,-1.521484375,4.5244140625
0.009,-2.9228515625,-2.4423828125,4.6044921875
0.0095,-2.2021484375,-3.283203125,4.724609375
0.01,-1.3212890625,-4.2841796875,4.884765625
0.0105,-0.3603515625,-4.404296875,4.1240234375
0.011,0.3603515625,-5.044921875,3.9638671875
0.0115,1.4013671875,-5.044921875,2.9228515625
0.012,2.162109375,-5.28515625,2.482421875
0.0125,3.36328125,-5.4453125,1.44140625
0.013,3.923828125,-5.28515625,0.7607421875
0.0135,4.2041015625,-4.564453125,-0.240234375
0.014,4.564453125,-4.2841796875,-0.9208984375
0.0145,4.5244140625,-3.3232421875,-1.8017578125
0.015,4.64453125,-2.7626953125,-2.4423828125
0.0155,4.9248046875,-1.8818359375,-3.5634765625
0.016,4.2041015625,-0.9609375,-3.8037109375
0.0165,3.84375,0.0400390625,-4.404296875
0.017,3.0029296875,1.0810546875,-4.5244140625
0.0175,2.40234375,1.921875,-4.7646484375
0.018,1.5615234375,2.8828125,-4.8447265625
0.0185,0.80078125,3.7236328125,-4.884765625
0.019,-0.240234375,3.8837890625,-4.00390625
0.0195,-0.9208984375,4.484375,-3.8837890625
0.02,-2.08203125,4.484375,-2.7626953125
0.0205,-2.72265625,4.64453125,-2.322265625
0.021,-3.8837890625,4.8447265625,-1.3212890625
0.0215,-4.2841796875,4.4443359375,-0.6005859375
0.022,-4.6044921875,3.84375,0.3203125
0.0225,-4.8046875,3.36328125,1.0009765625
0.023,-4.8447265625,2.5224609375,1.8818359375
0.0235,-4.884765625,1.921875,2.482421875
0.024,-5.125,1.1611328125,3.4833984375
0.0245,-4.32421875,0.1201171875,3.6435546875
0.025,-4.1240234375,-0.7607421875,4.244140625
0.0255,-3.123046875,-1.8017578125,4.2041015625
0.026,-2.6826171875,-2.482421875,4.5244140625
0.0265,-1.8818359375,-3.36328125,4.564453125
0.027,-1.12109375,-4.00390625,4.4443359375
0.0275,-0.16015625,-4.244140625,3.7236328125
0.028,0.5205078125,-4.724609375,3.5234375
0.0285,1.6416015625,-4.8447265625,2.5224609375
0.029,2.2421875,-5.044921875,2.162109375
0.0295,3.3232421875,-5.1650390625,1.28125
0.03,3.5234375,-4.6044921875,0.48046875
0.0305,3.9638671875,-4.32421875,-0.2802734375
0.031,4.1240234375,-3.68359375,-1.041015625
0.0315,4.2841796875,-3.04296875,-1.8017578125
0.032,4.32421875,-2.40234375,-2.482421875
0.0325,4.484375,-1.76171875,-3.283203125
0.033,3.603515625,-0.640625,-3.5634765625
0.0335,3.4833984375,0.1201171875,-4.1640625
0.034,2.4423828125,1.28125,-4.1640625
0.0345,2.2021484375,1.921875,-4.4443359375
0.035,1.361328125,2.802734375,-4.5244140625
0.0355,0.6005859375,3.2431640625,-4.2041015625
0.036,-0.3203125,3.603515625,-3.68359375
0.0365,-1.0810546875,3.9638671875,-3.283203125
0.037,-2.08203125,4.1240234375,-2.4423828125
0.0375,-2.6826171875,4.32421875,-2.001953125
0.038,-3.603515625,4.4443359375,-1.2412109375
0.0385,-3.8037109375,3.68359375,-0.400390625
0.039,-4.2041015625,3.5634765625,0.240234375
0.0395,-4.244140625,2.72265625,1.0810546875
0.04,-4.5244140625,2.3623046875,1.681640625
0.0405,-4.564453125,1.5615234375,2.40234375
0.041,-4.564453125,0.9609375,3.0029296875
0.0415,-3.763671875,-0.16015625,3.283203125
0.042,-3.6435546875,-0.80078125,3.84375
