wavelength,x,y,z
0.0,5.28515625,-10.41015625,5.28515625
0.0005,3.04296875,-10.1298828125,7.0869140625
0.001,0.7607421875,-9.8896484375,9.3291015625
0.0015,-1.361328125,-8.248046875,9.7294921875
0.002,-2.2021484375,-7.8076171875,10.25
0.0025,-4.4443359375,-6.2861328125,10.8505859375
0.003,-6.3662109375,-4.083984375,10.6103515625
0.0035,-8.6484375,-1.681640625,10.4501953125
0.004,-10.25,0.720703125,9.849609375
0.0045,-10.2099609375,2.162109375,8.408203125
0.005,-11.0107421875,3.1630859375,8.1279296875
0.0055,-11.2509765625,5.5654296875,5.8857421875
0.006,-10.6904296875,7.1669921875,3.8037109375
0.0065,-10.5302734375,9.2490234375,1.5615234375
0.007,-9.2490234375,9.849609375,-0.720703125
0.0075,-8.2880859375,9.76953125,-1.6416015625
0.008,-7.287109375,10.330078125,-3.283203125
0.0085,-4.7646484375,9.9697265625,-5.4453125
0.009,-2.6826171875,9.609375,-7.287109375
0.0095,-0.400390625,9.208984375,-9.208984375
0.01,1.361328125,7.6875,-9.4892578125
0.0105,2.2822265625,7.3671875,-10.009765625
0.011,4.64453125,5.5654296875,-10.5302734375
0.0115,6.5263671875,3.4033203125,-10.330078125
0.012,8.6083984375,1.0009765625,-10.1298828125
0.0125,10.08984375,-1.1611328125,-9.369140625
0.013,10.1298828125,-2.4423828125,-8.087890625
0.0135,10.8505859375,-3.8037109375,-7.52734375
0.014,10.9306640625,-6.2861328125,-5.205078125
0.0145,10.5302734375,-7.4873046875,-3.3232421875
0.015,10.330078125,-9.3291015625,-1.0009765625
0.0155,8.9287109375,-9.8896484375,0.9208984375
0.016,7.9677734375,-9.8896484375,1.921875
0.0165,6.646484375,-10.4501953125,3.8837890625
0.017,4.083984375,-10.0498046875,6.0859375
0.0175,2.001953125,-9.5693359375,7.7275390625
0.018,-0.3603515625,-9.12890625,9.5693359375
0.0185,-1.9619140625,-7.6474609375,9.76953125
0.019,-3.0830078125,-6.966796875,10.330078125
0.0195,-5.8857421875,-4.8447265625,10.9306640625
0.02,-7.4072265625,-2.72265625,10.3701171875
0.0205,-9.2490234375,-0.5205078125,10.009765625
0.021,-10.5703125,1.5615234375,9.2490234375
0.0215,-10.5703125,3.04296875,7.767578125
0.022,-11.2509765625,4.5244140625,6.9267578125
0.0225,-11.3310546875,7.046875,4.4443359375
0.023,-10.4501953125,8.16796875,2.482421875
0.0235,-10.169921875,9.8896484375,0.400390625
0.024,-8.6884765625,10.2099609375,-1.6416015625
0.0245,-7.447265625,10.0498046875,-2.8828125
0.025,-5.7255859375,10.490234375,-5.125
0.0255,-3.203125,10.009765625,-7.20703125
0.026,-1.2412109375,9.2490234375,-8.408203125
0.0265,1.12109375,8.8486328125,-10.0498046875
0.027,2.7626953125,7.126953125,-10.2099609375
0.0275,4.2041015625,6.2060546875,-10.6103515625
0.028,6.9267578125,3.7236328125,-11.1708984375
0.0285,8.4482421875,1.4013671875,-10.2900390625
0.029,9.8896484375,-0.6005859375,-9.76953125
0.0295,10.970703125,-2.5224609375,-9.0087890625
0.03,10.890625,-4.2041015625,-7.2470703125
0.0305,11.451171875,-5.6455078125,-5.92578125
0.031,11.37109375,-8.2080078125,-3.5634765625
0.0315,10.169921875,-8.9287109375,-1.4814453125
0.032,9.8896484375,-10.3701171875,0.3603515625
0.0325,8.16796875,-10.650390625,2.5224609375
0.033,6.5263671875,-10.4501953125,3.8837890625
0.0335,4.6845703125,-10.73046875,6.2060546875
0.034,2.1220703125,-10.1298828125,8.087890625
0.0345,0.240234375,-9.048828125,9.0087890625
0.035,-1.681640625,-8.6083984375,10.5302734375
0.0355,-3.6435546875,-6.7265625,10.650390625
0.036,-5.125,-5.4052734375,10.890625
0.0365,-7.9677734375,-3.0029296875,11.2109375
0.037,-9.12890625,-0.640625,10.009765625
0.0375,-10.25,1.0810546875,9.4892578125
0.038,-11.0908203125,2.9228515625,8.6484375
0.0385,-11.05078125,4.64453125,6.6064453125
0.039,-11.2509765625,6.326171875,5.0849609375
0.0395,-11.2109375,8.6083984375,2.6826171875
0.04,-9.6494140625,9.0888671875,0.7607421875
0.0405,-9.4892578125,10.2900390625,-0.9208984375
0.041,-7.7275390625,10.3701171875,-3.0830078125
0.0415,-6.0458984375,10.169921875,-4.32421875
0.042,-4.1240234375,10.330078125,-6.7265625
0.0425,-1.521484375,9.6494140625,-8.328125
0.043,0.240234375,8.5283203125,-9.048828125
0.0435,1.8818359375,8.0478515625,-10.4501953125
0.044,3.9638671875,6.166015625,-10.5302734375
0.0445,5.7255859375,4.484375,-10.6904296875
0.045,8.3681640625,2.2021484375,-10.9306640625
0.0455,9.3291015625,-0.2001953125,-9.529296875
0.046,10.330078125,-1.5615234375,-9.2890625
0.0465,11.0107421875,-3.4833984375,-8.248046875
0.047,10.9306640625,-5.0849609375,-6.3662109375
0.0475,11.1708984375,-7.0068359375,-4.5244140625
0.048,10.970703125,-9.12890625,-2.2421875
0.0485,9.3291015625,-9.2890625,0.0
0.049,9.208984375,-10.4501953125,1.2412109375
0.0495,7.046875,-10.5302734375,3.36328125
0.05,5.2451171875,-10.169921875,4.96484375
0.0505,3.2431640625,-10.41015625,7.3271484375
0.051,0.80078125,-9.369140625,8.7685546875
0.0515,-0.9208984375,-8.408203125,9.44921875
0.052,-2.482421875,-7.84765625,10.5302734375
0.0525,-4.6044921875,-5.8857421875,10.6103515625
0.053,-6.486328125,-3.9638671875,10.650390625
0.0535,-9.0087890625,-1.5615234375,10.810546875
0.054,-9.609375,0.80078125,9.2490234375
0.0545,-10.5302734375,1.76171875,9.0087890625
0.055,-11.130859375,3.763671875,7.7275390625
0.0555,-10.890625,5.4853515625,5.7255859375
0.056,-10.890625,7.52734375,3.6435546875
0.0565,-10.490234375,9.2890625,1.28125
0.057,-9.0888671875,9.3291015625,-0.48046875
0.0575,-8.80859375,10.3701171875,-1.681640625
0.058,-6.4462890625,10.2900390625,-3.8837890625
0.0585,-4.64453125,9.9697265625,-5.6455078125
0.059,-2.5224609375,10.08984375,-7.927734375
0.0595,-0.16015625,8.7685546875,-9.048828125
0.06,1.12109375,7.9677734375,-9.5693359375
0.0605,2.8427734375,7.2470703125,-10.5302734375
0.061,4.8447265625,5.125,-10.5703125
0.0615,7.046875,2.962890625,-10.4501953125
0.062,9.4892578125,0.6806640625,-10.25
0.0625,9.7294921875,-1.4814453125,-8.7685546875
0.063,10.5703125,-2.2021484375,-8.6484375
0.0635,11.0107421875,-4.3642578125,-7.0869140625
0.064,10.650390625,-6.2861328125,-5.0048828125
0.0645,10.8505859375,-8.2080078125,-2.8828125
0.065,10.08984375,-9.5693359375,-0.5205078125
0.0655,8.5283203125,-9.5693359375,0.880859375
0.066,8.328125,-10.2900390625,2.0419921875
0.0665,5.92578125,-10.2099609375,4.404296875
0.067,3.84375,-9.8095703125,6.1259765625
0.0675,1.7216796875,-9.76953125,8.4482421875
0.068,-0.640625,-8.4482421875,9.2490234375
0.0685,-1.6015625,-7.84765625,9.6494140625
0.069,-3.36328125,-6.806640625,10.4501953125
0.0695,-5.4853515625,-4.7646484375,10.3701171875
0.07,-7.5673828125,-2.5224609375,10.25
0.0705,-9.609375,-0.16015625,9.9296875
0.071,-9.7294921875,1.5615234375,8.48828125
0.0715,-10.4501953125,2.4423828125,8.4482421875
0.072,-10.8505859375,4.5244140625,6.5263671875
0.0725,-10.4501953125,6.326171875,4.484375
0.073,-10.490234375,8.328125,2.2421875
0.0735,-9.529296875,9.44921875,0.1201171875
0.074,-8.3681640625,9.3291015625,-1.041015625
0.0745,-7.767578125,9.9697265625,-2.40234375
0.075,-5.4052734375,9.76953125,-4.64453125
0.0755,-3.4033203125,9.44921875,-6.486328125
0.076,-1.1611328125,9.3291015625,-8.5283203125
0.0765,0.880859375,7.927734375,-9.048828125
0.077,1.5615234375,7.4873046875,-9.5693359375
0.0775,3.763671875,6.24609375,-10.169921875
0.078,5.5654296875,4.00390625,-10.2099609375
0.0785,7.6875,1.841796875,-10.0498046875
0.079,9.44921875,-0.400390625,-9.44921875
0.0795,9.609375,-1.8818359375,-8.2080078125
0.08,10.3701171875,-2.8828125,-7.8876953125
0.0805,10.6904296875,-5.205078125,-5.845703125
0.081,10.2900390625,-6.8466796875,-4.00390625
0.0815,10.2099609375,-8.728515625,-1.8017578125
0.082,9.1689453125,-9.4892578125,0.2802734375
0.0825,8.0478515625,-9.44921875,1.3212890625
0.083,7.1669921875,-10.0498046875,2.9228515625
0.0835,4.7646484375,-9.8896484375,5.1650390625
0.084,2.72265625,-9.44921875,6.966796875
0.0845,0.48046875,-9.1689453125,8.9287109375
0.085,-1.3212890625,-7.8876953125,9.2490234375
0.0855,-2.2021484375,-7.2470703125,9.7294921875
0.086,-4.6044921875,-5.6455078125,10.3701171875
0.0865,-6.4462890625,-3.4833984375,10.1298828125
0.087,-8.328125,-1.3212890625,9.8095703125
0.0875,-9.8896484375,0.80078125,9.3291015625
0.088,-9.8896484375,2.162109375,7.9677734375
