wavelength,x,y,z
0.0,-5.4853515625,4.2041015625,0.80078125
0.0005,-5.4853515625,3.3232421875,1.6416015625
0.001,-5.525390625,2.5224609375,2.482421875
0.0015,-5.525390625,1.5615234375,3.36328125
0.002,-5.525390625,0.6806640625,4.32421875
0.0025,-4.5244140625,-0.560546875,4.484375
0.003,-4.3642578125,-1.3212890625,5.0849609375
0.0035,-3.0830078125,-2.5625,4.96484375
0.004,-2.6025390625,-3.2431640625,5.1650390625
0.0045,-1.44140625,-4.484375,5.1650390625
0.005,-0.4404296875,-4.96484375,4.6845703125
0.0055,0.5205078125,-5.28515625,4.0439453125
0.006,1.4013671875,-5.6455078125,3.5634765625
0.0065,2.6025390625,-5.7255859375,2.40234375
0.007,3.3232421875,-5.7255859375,1.8017578125
0.0075,4.484375,-5.8056640625,0.720703125
0.008,4.5244140625,-4.9248046875,-0.2802734375
0.0085,5.0048828125,-4.6845703125,-0.9208984375
0.009,5.044921875,-3.7236328125,-1.9619140625
0.0095,5.044921875,-3.0029296875,-2.6826171875
0.01,5.0048828125,-2.001953125,-3.5634765625
0.0105,4.9248046875,-1.0810546875,-4.3642578125
0.011,3.8837890625,0.2001953125,-4.5244140625
0.0115,3.6435546875,0.9609375,-5.044921875
0.012,2.3623046875,2.2822265625,-5.0048828125
0.0125,1.921875,2.8427734375,-5.125
0.013,0.8408203125,3.9638671875,-5.125
0.0135,-0.2001953125,4.32421875,-4.4443359375
0.014,-1.041015625,4.64453125,-3.9638671875
0.0145,-2.08203125,4.96484375,-3.2431640625
0.015,-3.123046875,5.0048828125,-2.2822265625
0.0155,-3.763671875,4.96484375,-1.6015625
0.016,-4.724609375,4.96484375,-0.640625
0.0165,-4.8046875,4.00390625,0.2802734375
0.017,-5.205078125,3.84375,0.880859375
0.0175,-5.1650390625,2.6826171875,1.921875
0.018,-5.28515625,2.2421875,2.5625
0.0185,-5.2451171875,1.2412109375,3.4833984375
0.019,-4.96484375,0.3603515625,4.0439453125
0.0195,-4.1240234375,-0.80078125,4.32421875
0.02,-3.84375,-1.5615234375,4.7646484375
0.0205,-2.642578125,-2.7626953125,4.7646484375
0.021,-2.2822265625,-3.283203125,4.8447265625
0.0215,-1.1611328125,-4.32421875,4.7646484375
0.022,-0.2001953125,-4.564453125,4.083984375
0.0225,0.560546875,-5.0048828125,3.763671875
0.023,1.7216796875,-5.2451171875,2.8828125
0.0235,2.5625,-5.4052734375,2.162109375
0.024,3.2431640625,-5.28515625,1.4013671875
0.0245,3.9638671875,-5.28515625,0.6005859375
0.025,4.083984375,-4.3642578125,-0.3203125
0.0255,4.484375,-4.2841796875,-0.8408203125
0.026,4.484375,-3.0830078125,-1.9619140625
0.0265,4.6044921875,-2.72265625,-2.4423828125
0.027,4.5244140625,-1.7216796875,-3.36328125
0.0275,4.083984375,-0.80078125,-3.763671875
0.028,3.443359375,0.240234375,-4.1240234375
0.0285,2.962890625,1.0810546875,-4.4443359375
0.029,2.0419921875,2.1220703125,-4.564453125
0.0295,1.6416015625,2.6025390625,-4.6044921875
0.03,0.720703125,3.4833984375,-4.5244140625
0.0305,-0.2802734375,3.68359375,-3.8037109375
