wavelength,x,y,z
0.0,-4.404296875,2.2822265625,1.6015625
0.0005,-4.6044921875,1.5615234375,2.6025390625
0.001,-4.1640625,0.720703125,2.8427734375
0.0015,-3.8837890625,0.0,3.36328125
0.002,-3.36328125,-0.880859375,3.6435546875
0.0025,-2.8427734375,-1.7216796875,3.9638671875
0.003,-2.2021484375,-2.482421875,4.083984375
0.0035,-1.6015625,-3.203125,4.1240234375
0.004,-0.7607421875,-3.4833984375,3.5634765625
0.0045,-0.2802734375,-4.0439453125,3.6435546875
0.005,0.880859375,-4.2041015625,2.6826171875
0.0055,1.5615234375,-4.564453125,2.40234375
0.006,2.482421875,-4.6044921875,1.521484375
0.0065,2.8427734375,-4.4443359375,0.9609375
0.007,3.203125,-4.083984375,0.2802734375
0.0075,3.4833984375,-3.8037109375,-0.2802734375
0.008,3.68359375,-3.0830078125,-1.1611328125
0.0085,3.84375,-2.642578125,-1.8017578125
0.009,3.9638671875,-1.9619140625,-2.5625
0.0095,3.3232421875,-1.1611328125,-2.8427734375
0.01,3.3232421875,-0.4404296875,-3.36328125
0.0105,2.5625,0.48046875,-3.4833984375
0.011,2.2421875,1.201171875,-3.8837890625
0.0115,1.5615234375,1.921875,-3.923828125
0.012,0.9609375,2.5224609375,-3.8837890625
0.0125,0.2802734375,2.802734375,-3.4833984375
0.013,-0.3603515625,3.3232421875,-3.36328125
0.0135,-1.4013671875,3.5234375,-2.5224609375
0.014,-2.0419921875,3.84375,-2.2021484375
0.0145,-2.8427734375,3.923828125,-1.4814453125
0.015,-3.0830078125,3.5634765625,-0.9208984375
0.0155,-3.5634765625,3.4833984375,-0.400390625
0.016,-3.7236328125,2.962890625,0.3203125
0.0165,-4.1240234375,2.482421875,1.041015625
0.017,-4.1640625,1.8818359375,1.76171875
0.0175,-4.32421875,1.361328125,2.40234375
0.018,-3.7236328125,0.400390625,2.802734375
0.0185,-3.7236328125,-0.2001953125,3.36328125
0.019,-2.8828125,-1.2412109375,3.5234375
0.0195,-2.642578125,-1.921875,3.923828125
0.02,-1.8818359375,-2.6826171875,3.8837890625
0.0205,-1.2412109375,-3.1630859375,3.763671875
0.021,-0.560546875,-3.5634765625,3.4833984375
0.0215,0.240234375,-3.923828125,3.04296875
0.022,1.2412109375,-4.2041015625,2.3623046875
0.0225,1.921875,-4.3642578125,1.8818359375
0.023,2.5625,-4.4443359375,1.28125
0.0235,2.802734375,-3.923828125,0.6005859375
0.024,3.203125,-3.923828125,0.1201171875
0.0245,3.283203125,-3.203125,-0.720703125
0.025,3.68359375,-2.8828125,-1.4013671875
0.0255,3.6435546875,-2.1220703125,-2.1220703125
0.026,3.6435546875,-1.521484375,-2.6025390625
0.0265,3.04296875,-0.6005859375,-2.9228515625
0.027,2.9228515625,0.0,-3.36328125
0.0275,2.162109375,1.0009765625,-3.5634765625
0.028,1.921875,1.5615234375,-3.8837890625
0.0285,1.201171875,2.2822265625,-3.84375
0.029,0.5205078125,2.642578125,-3.5634765625
0.0295,-0.1201171875,3.0830078125,-3.36328125
0.03,-1.041015625,3.36328125,-2.72265625
0.0305,-1.8818359375,3.7236328125,-2.2421875
0.031,-2.5224609375,3.763671875,-1.6416015625
