wavelength,x,y,z
0.0,0.6806640625,-3.2431640625,2.6025390625
0.0005,1.28125,-3.5634765625,2.3623046875
0.001,1.921875,-3.5634765625,1.76171875
0.0015,2.3623046875,-3.603515625,1.28125
0.002,2.6025390625,-3.283203125,0.6806640625
0.0025,3.04296875,-3.203125,0.2001953125
0.003,3.1630859375,-2.482421875,-0.720703125
0.0035,3.36328125,-2.162109375,-1.28125
0.004,3.36328125,-1.44140625,-2.0419921875
0.0045,3.283203125,-0.9609375,-2.4423828125
0.005,3.1630859375,-0.3603515625,-2.9228515625
0.0055,2.8427734375,0.2802734375,-3.203125
0.006,2.40234375,1.0009765625,-3.5634765625
0.0065,1.841796875,1.6015625,-3.5634765625
0.007,1.2412109375,2.2822265625,-3.603515625
0.0075,0.560546875,2.6826171875,-3.283203125
0.008,0.0,3.1630859375,-3.283203125
0.0085,-0.9208984375,3.283203125,-2.5625
0.009,-1.44140625,3.603515625,-2.3623046875
0.0095,-2.001953125,3.5634765625,-1.76171875
0.01,-2.4423828125,3.5634765625,-1.3212890625
0.0105,-2.7626953125,3.3232421875,-0.6806640625
0.011,-3.0830078125,3.04296875,0.0
0.0115,-3.283203125,2.40234375,0.80078125
0.012,-3.443359375,1.921875,1.44140625
0.0125,-3.4833984375,1.28125,2.162109375
0.013,-3.2431640625,0.6806640625,2.5224609375
0.0135,-3.203125,0.16015625,3.04296875
0.014,-2.642578125,-0.640625,3.2431640625
0.0145,-2.2822265625,-1.3212890625,3.5234375
0.015,-1.521484375,-1.9619140625,3.443359375
0.0155,-0.9208984375,-2.5625,3.4833984375
0.016,-0.16015625,-2.9228515625,3.123046875
0.0165,0.4404296875,-3.3232421875,2.962890625
0.017,1.28125,-3.4833984375,2.322265625
0.0175,1.76171875,-3.68359375,1.921875
0.018,2.3623046875,-3.603515625,1.3212890625
0.0185,2.6826171875,-3.443359375,0.80078125
0.019,3.04296875,-3.203125,0.240234375
0.0195,3.203125,-2.642578125,-0.640625
0.02,3.443359375,-2.162109375,-1.3212890625
0.0205,3.36328125,-1.5615234375,-1.9619140625
0.021,3.443359375,-1.0009765625,-2.5625
0.0215,3.123046875,-0.3203125,-2.8828125
0.022,3.04296875,0.2802734375,-3.36328125
0.0225,2.40234375,1.0810546875,-3.5234375
0.023,1.9619140625,1.6416015625,-3.7236328125
0.0235,1.201171875,2.322265625,-3.5634765625
0.024,0.560546875,2.802734375,-3.5234375
0.0245,-0.16015625,3.1630859375,-3.123046875
0.025,-0.80078125,3.36328125,-2.7626953125
0.0255,-1.5615234375,3.603515625,-2.2822265625
0.026,-2.001953125,3.603515625,-1.8017578125
0.0265,-2.5625,3.68359375,-1.28125
0.027,-2.802734375,3.3232421875,-0.6806640625
0.0275,-3.203125,3.1630859375,-0.16015625
0.028,-3.283203125,2.40234375,0.80078125
0.0285,-3.5634765625,2.0419921875,1.44140625
0.029,-3.36328125,1.28125,2.0419921875
0.0295,-3.36328125,0.80078125,2.5625
0.03,-3.0830078125,0.16015625,2.8828125
0.0305,-2.8828125,-0.400390625,3.2431640625
0.031,-2.2822265625,-1.2412109375,3.4833984375
0.0315,-1.7216796875,-1.8017578125,3.4833984375
0.032,-1.041015625,-2.4423828125,3.443359375
0.0325,-0.3603515625,-2.8427734375,3.1630859375
0.033,0.2802734375,-3.203125,3.04296875
0.0335,0.9609375,-3.3232421875,2.40234375
0.034,1.5615234375,-3.5634765625,2.08203125
0.0345,1.9619140625,-3.4833984375,1.5615234375
0.035,2.5224609375,-3.5634765625,1.12109375
0.0355,2.6826171875,-3.203125,0.48046875
0.036,3.0830078125,-3.04296875,0.0
0.0365,3.1630859375,-2.2822265625,-0.9609375
0.037,3.36328125,-1.9619140625,-1.4814453125
0.0375,3.2431640625,-1.28125,-2.1220703125
0.038,3.203125,-0.80078125,-2.5625
0.0385,3.04296875,-0.2001953125,-2.9228515625
0.039,2.6826171875,0.48046875,-3.203125
0.0395,2.2822265625,1.1611328125,-3.5234375
0.04,1.681640625,1.681640625,-3.443359375
0.0405,1.12109375,2.2822265625,-3.5234375
0.041,0.4404296875,2.6826171875,-3.203125
0.0415,-0.16015625,3.123046875,-3.1630859375
0.042,-0.9208984375,3.2431640625,-2.5625
0.0425,-1.4013671875,3.5234375,-2.322265625
