wavelength,x,y,z
0.0,0.16015625,8.9287109375,-9.529296875
0.0005,1.76171875,8.6083984375,-10.9306640625
0.001,3.9638671875,6.56640625,-11.05078125
0.0015,5.7255859375,4.8046875,-10.9306640625
0.002,8.408203125,2.5224609375,-11.3310546875
0.0025,9.6494140625,0.1201171875,-10.1298828125
0.003,10.5302734375,-1.361328125,-9.609375
0.0035,11.53125,-3.0830078125,-8.8486328125
0.004,11.291015625,-5.125,-6.56640625
0.0045,11.291015625,-6.966796875,-4.724609375
0.005,11.451171875,-9.2890625,-2.4423828125
0.0055,9.7294921875,-9.609375,-0.400390625
0.006,9.609375,-10.6103515625,0.880859375
0.0065,7.607421875,-10.810546875,3.04296875
0.007,5.365234375,-10.2900390625,4.8447265625
0.0075,3.443359375,-10.5703125,7.0068359375
0.008,0.9609375,-9.849609375,8.7685546875
0.0085,-0.80078125,-8.728515625,9.208984375
0.009,-2.2822265625,-8.3681640625,10.330078125
0.0095,-4.5244140625,-6.166015625,10.3701171875
0.01,-6.4462890625,-4.1640625,10.2099609375
0.0105,-9.048828125,-1.8017578125,10.5302734375
0.011,-9.9697265625,0.6005859375,9.0888671875
0.0115,-10.650390625,1.6416015625,8.6884765625
0.012,-11.4111328125,3.4833984375,7.5673828125
0.0125,-11.05078125,5.60546875,5.0849609375
0.013,-11.0908203125,7.52734375,3.203125
0.0135,-10.970703125,9.609375,0.880859375
0.014,-9.2890625,9.7294921875,-1.0009765625
0.0145,-9.048828125,10.5302734375,-2.08203125
0.015,-6.8466796875,10.5302734375,-4.32421875
0.0155,-4.564453125,10.009765625,-6.1259765625
0.016,-2.6025390625,10.25,-8.328125
0.0165,0.0,9.208984375,-9.7294921875
0.017,1.3212890625,8.248046875,-10.08984375
0.0175,2.802734375,7.6875,-10.970703125
0.018,5.125,5.4052734375,-10.970703125
0.0185,7.126953125,3.2431640625,-10.7705078125
0.019,9.689453125,0.8408203125,-10.890625
0.0195,10.2900390625,-1.3212890625,-9.4091796875
0.02,10.890625,-2.2421875,-9.0888671875
0.0205,11.53125,-4.32421875,-7.607421875
0.021,11.1708984375,-6.2861328125,-5.2451171875
0.0215,11.1708984375,-8.328125,-3.203125
0.022,10.73046875,-10.1298828125,-0.9208984375
0.0225,9.0888671875,-10.009765625,0.7607421875
0.023,8.728515625,-10.73046875,1.8818359375
0.0235,6.24609375,-10.650390625,4.32421875
0.024,3.9638671875,-10.169921875,6.0859375
0.0245,1.76171875,-10.3701171875,8.408203125
0.025,-0.6806640625,-9.12890625,9.5693359375
0.0255,-1.8017578125,-8.248046875,9.7294921875
0.026,-3.4833984375,-7.3271484375,10.490234375
0.0265,-5.9658203125,-4.8046875,10.490234375
0.027,-7.8076171875,-2.72265625,10.169921875
0.0275,-10.25,-0.2802734375,10.1298828125
0.028,-10.6103515625,1.76171875,8.568359375
0.0285,-11.0908203125,2.6826171875,8.0478515625
0.029,-11.5712890625,5.0849609375,6.1259765625
0.0295,-11.2109375,6.966796875,3.8037109375
0.03,-11.05078125,8.96875,1.6416015625
0.0305,-10.41015625,10.5302734375,-0.720703125
0.031,-8.6884765625,10.2099609375,-2.08203125
0.0315,-8.0478515625,10.73046875,-3.283203125
0.032,-5.3251953125,10.650390625,-5.9658203125
0.0325,-3.203125,10.08984375,-7.5673828125
0.033,-0.8408203125,9.9697265625,-9.8095703125
0.0335,1.4814453125,8.7685546875,-10.73046875
0.034,2.5224609375,7.767578125,-10.7705078125
0.0345,4.6044921875,6.3662109375,-11.4111328125
0.035,7.0869140625,3.8037109375,-11.291015625
0.0355,8.728515625,1.681640625,-10.7705078125
0.036,10.9306640625,-0.720703125,-10.650390625
0.0365,11.1708984375,-2.6025390625,-8.96875
0.037,11.53125,-3.763671875,-8.2080078125
0.0375,11.9716796875,-6.40625,-5.92578125
0.038,11.4111328125,-8.0078125,-3.763671875
0.0385,11.0107421875,-9.689453125,-1.6015625
0.039,10.25,-11.130859375,0.6806640625
0.0395,8.328125,-10.650390625,2.2421875
0.04,7.2470703125,-11.05078125,3.68359375
0.0405,4.484375,-10.970703125,6.40625
0.041,2.40234375,-10.25,7.6875
0.0415,0.080078125,-10.0498046875,9.7294921875
0.042,-2.08203125,-8.6484375,10.490234375
0.0425,-3.36328125,-7.3671875,10.41015625
0.043,-5.7255859375,-5.60546875,10.9306640625
0.0435,-8.0078125,-3.0830078125,10.7705078125
0.044,-9.3291015625,-0.9609375,9.9296875
0.0445,-11.2509765625,1.201171875,9.76953125
0.045,-11.4111328125,3.203125,7.84765625
0.0455,-11.53125,4.484375,6.6865234375
0.046,-11.8515625,7.126953125,4.32421875
0.0465,-11.2109375,8.568359375,2.2021484375
0.047,-10.5703125,9.8896484375,0.2802734375
0.0475,-9.76953125,11.0908203125,-1.9619140625
0.048,-7.6474609375,10.5703125,-3.5634765625
0.0485,-6.2861328125,10.7705078125,-5.125
0.049,-3.6435546875,10.650390625,-7.6875
0.0495,-1.6015625,9.7294921875,-8.8486328125
0.05,0.560546875,9.4892578125,-10.5302734375
0.0505,2.642578125,8.0478515625,-11.1708984375
0.051,4.00390625,6.56640625,-11.05078125
0.0515,6.5263671875,4.5244140625,-11.4912109375
0.052,8.6484375,2.1220703125,-11.130859375
0.0525,9.7294921875,0.0400390625,-10.1298828125
0.053,11.4111328125,-1.8017578125,-10.0498046875
0.0535,11.4912109375,-3.84375,-8.0078125
0.054,11.4912109375,-5.205078125,-6.6865234375
0.0545,11.8115234375,-7.767578125,-4.404296875
0.055,10.890625,-8.96875,-2.2421875
0.0555,10.2900390625,-10.08984375,-0.5205078125
0.056,9.2890625,-11.05078125,1.5615234375
0.0565,7.046875,-10.5703125,3.3232421875
0.057,5.4853515625,-10.73046875,5.044921875
0.0575,3.0029296875,-10.6103515625,7.4072265625
0.058,0.9609375,-9.4892578125,8.3681640625
0.0585,-0.9208984375,-9.3291015625,9.9296875
0.059,-3.0029296875,-7.6875,10.41015625
0.0595,-4.5244140625,-6.0859375,10.25
0.06,-7.046875,-3.923828125,10.650390625
0.0605,-8.888671875,-1.6015625,10.08984375
0.061,-9.8095703125,0.400390625,9.0888671875
0.0615,-11.2509765625,1.9619140625,8.96875
0.062,-11.1708984375,4.0439453125,6.7265625
0.0625,-11.1708984375,5.5654296875,5.205078125
0.063,-11.451171875,8.0478515625,3.0029296875
0.0635,-10.25,8.9287109375,0.880859375
0.064,-9.8095703125,9.9697265625,-0.720703125
0.0645,-8.6083984375,10.650390625,-2.72265625
0.065,-6.40625,10.08984375,-4.3642578125
0.0655,-4.7646484375,10.2099609375,-6.2060546875
0.066,-2.322265625,10.08984375,-8.408203125
0.0665,-0.400390625,8.888671875,-9.0888671875
0.067,1.28125,8.728515625,-10.5302734375
0.0675,3.36328125,6.966796875,-10.8505859375
0.068,5.044921875,5.2451171875,-10.650390625
0.0685,7.6474609375,3.04296875,-11.05078125
0.069,9.1689453125,0.6806640625,-10.2099609375
0.0695,9.9697265625,-1.0009765625,-9.44921875
0.07,11.1708984375,-2.4423828125,-9.0888671875
0.0705,11.0107421875,-4.5244140625,-6.88671875
0.071,10.970703125,-6.166015625,-5.205078125
0.0715,11.2509765625,-8.5283203125,-3.0830078125
0.072,9.849609375,-9.0888671875,-1.0009765625
0.0725,9.529296875,-10.1298828125,0.3203125
0.073,8.0078125,-10.5302734375,2.322265625
0.0735,5.7255859375,-10.009765625,4.0439453125
0.074,4.0439453125,-10.169921875,6.005859375
0.0745,1.6416015625,-9.76953125,8.0078125
0.075,-0.16015625,-8.6083984375,8.5283203125
0.0755,-1.6015625,-8.4482421875,9.7294921875
0.076,-3.7236328125,-6.56640625,9.9296875
0.0765,-5.4453125,-4.64453125,9.76953125
0.077,-8.0078125,-2.5224609375,10.169921875
0.0775,-9.1689453125,-0.2802734375,9.0087890625
0.078,-9.8896484375,1.0810546875,8.48828125
0.0785,-10.7705078125,2.642578125,7.8076171875
0.079,-10.5703125,4.64453125,5.5654296875
0.0795,-10.6103515625,6.40625,3.84375
0.08,-10.6904296875,8.6083984375,1.6416015625
0.0805,-9.1689453125,8.888671875,-0.2802734375
0.081,-9.0087890625,9.76953125,-1.361328125
0.0815,-7.2470703125,9.9296875,-3.36328125
0.082,-5.0849609375,9.529296875,-5.044921875
0.0825,-3.36328125,9.76953125,-7.0869140625
0.083,-1.041015625,9.0888671875,-8.6884765625
0.0835,0.560546875,8.16796875,-9.1689453125
0.084,1.921875,7.8876953125,-10.25
0.0845,4.0439453125,5.8857421875,-10.330078125
0.085,5.92578125,3.8837890625,-10.25
0.0855,8.4482421875,1.6015625,-10.490234375
0.086,9.2890625,-0.5205078125,-9.2490234375
0.0865,10.0498046875,-1.44140625,-8.96875
0.087,10.73046875,-3.203125,-7.9677734375
0.0875,10.5302734375,-5.1650390625,-5.7255859375
0.088,10.6103515625,-7.0869140625,-3.8837890625
0.0885,10.4501953125,-9.0888671875,-1.7216796875
0.089,8.96875,-9.1689453125,0.0
0.0895,8.7685546875,-10.009765625,0.9609375
0.09,6.6865234375,-9.9697265625,3.1630859375
0.0905,4.564453125,-9.609375,4.884765625
0.091,2.6025390625,-9.9296875,7.1669921875
0.0915,0.3203125,-8.9287109375,8.4482421875
0.092,-1.0009765625,-8.16796875,8.8486328125
0.0925,-2.4423828125,-7.5673828125,9.7294921875
0.093,-4.6845703125,-5.365234375,9.7294921875
0.0935,-6.6064453125,-3.4033203125,9.6494140625
0.094,-9.048828125,-1.041015625,9.7294921875
0.0945,-9.6494140625,0.9208984375,8.3681640625
0.095,-10.25,1.841796875,8.1279296875
0.0955,-10.810546875,3.8837890625,6.56640625
0.096,-10.5703125,5.8056640625,4.32421875
0.0965,-10.5703125,7.8076171875,2.3623046875
0.097,-10.1298828125,9.4892578125,0.16015625
0.0975,-8.6884765625,9.3291015625,-1.3212890625
0.098,-8.2880859375,10.0498046875,-2.3623046875
0.0985,-5.845703125,9.9697265625,-4.7646484375
0.099,-3.763671875,9.609375,-6.4462890625
0.0995,-1.6015625,9.7294921875,-8.728515625
0.1,0.6806640625,8.568359375,-9.7294921875
0.1005,1.7216796875,7.8076171875,-9.9697265625
0.101,3.4033203125,6.806640625,-10.650390625
0.1015,5.8857421875,4.404296875,-10.650390625
0.102,7.6474609375,2.3623046875,-10.3701171875
0.1025,9.9296875,0.0400390625,-10.330078125
0.103,10.2900390625,-1.8017578125,-8.9287109375
0.1035,10.810546875,-2.802734375,-8.408203125
0.104,11.291015625,-5.28515625,-6.4462890625
0.1045,10.8505859375,-7.0068359375,-4.32421875
0.105,10.6904296875,-8.8486328125,-2.2822265625
0.1055,10.0498046875,-10.2900390625,0.0
0.106,8.4482421875,-9.9697265625,1.361328125
0.1065,7.6474609375,-10.41015625,2.642578125
0.107,5.0048828125,-10.3701171875,5.2451171875
0.1075,3.0029296875,-9.8095703125,6.6865234375
0.108,0.720703125,-9.76953125,8.888671875
0.1085,-1.361328125,-8.48828125,9.6494140625
0.109,-2.4423828125,-7.5673828125,9.689453125
