wavelength,x,y,z
0.0,-0.6005859375,-7.767578125,8.5283203125
0.0005,-2.0419921875,-7.2470703125,9.44921875
0.001,-4.00390625,-5.2451171875,9.4091796875
0.0015,-5.92578125,-3.283203125,9.44921875
0.002,-8.3681640625,-1.0810546875,9.6494140625
0.0025,-8.96875,0.6806640625,8.6083984375
0.003,-9.8095703125,1.4814453125,8.6083984375
0.0035,-10.169921875,3.2431640625,7.1669921875
0.004,-9.9296875,4.96484375,5.125
0.0045,-10.08984375,6.88671875,3.3232421875
0.005,-9.8896484375,8.568359375,1.4013671875
0.0055,-8.728515625,8.6083984375,0.1201171875
0.006,-8.48828125,9.3291015625,-1.0009765625
0.0065,-6.1259765625,8.9287109375,-3.0029296875
0.007,-4.2041015625,8.6083984375,-4.6845703125
0.0075,-2.2421875,8.80859375,-6.9267578125
0.008,-0.2001953125,8.0078125,-8.0078125
0.0085,0.880859375,7.607421875,-8.80859375
0.009,2.482421875,6.646484375,-9.529296875
0.0095,4.484375,4.6044921875,-9.4892578125
0.01,6.5263671875,2.5625,-9.529296875
0.0105,8.80859375,0.3603515625,-9.5693359375
0.011,9.2490234375,-1.28125,-8.408203125
0.0115,9.9697265625,-2.08203125,-8.328125
0.012,10.2099609375,-4.1240234375,-6.4462890625
0.0125,9.9296875,-5.7255859375,-4.5244140625
0.013,10.08984375,-7.767578125,-2.6025390625
0.0135,9.609375,-9.048828125,-0.7607421875
0.014,8.48828125,-8.96875,0.400390625
0.0145,7.8876953125,-9.44921875,1.5615234375
0.015,5.365234375,-9.0087890625,3.68359375
0.0155,3.443359375,-8.728515625,5.4052734375
0.016,1.521484375,-8.888671875,7.6875
0.0165,-0.6005859375,-7.8876953125,8.6083984375
0.017,-1.44140625,-7.52734375,9.0888671875
0.0175,-3.283203125,-6.1259765625,9.609375
0.018,-5.3251953125,-4.00390625,9.5693359375
0.0185,-7.3671875,-2.001953125,9.5693359375
0.019,-9.3291015625,0.1201171875,9.4892578125
0.0195,-9.609375,1.5615234375,8.2880859375
0.02,-10.25,2.5224609375,7.9677734375
0.0205,-10.3701171875,4.8046875,5.765625
0.021,-10.08984375,6.2060546875,4.0439453125
0.0215,-10.25,8.248046875,2.08203125
0.022,-9.4892578125,9.2490234375,0.240234375
0.0225,-8.328125,9.048828125,-0.880859375
0.023,-7.4072265625,9.4091796875,-2.2421875
0.0235,-4.8046875,9.0087890625,-4.484375
0.024,-2.7626953125,8.7685546875,-6.2060546875
0.0245,-0.7607421875,8.80859375,-8.408203125
0.025,1.041015625,7.52734375,-9.1689453125
0.0255,1.921875,7.1669921875,-9.529296875
0.026,4.2841796875,5.3251953125,-10.009765625
0.0265,6.24609375,3.1630859375,-9.8095703125
0.027,8.087890625,1.1611328125,-9.6494140625
0.0275,9.9697265625,-0.9208984375,-9.4892578125
0.028,10.08984375,-2.4423828125,-8.0478515625
0.0285,10.5703125,-3.603515625,-7.3671875
0.029,10.6904296875,-6.0458984375,-5.0048828125
0.0295,10.2099609375,-7.2470703125,-3.283203125
0.03,10.2900390625,-9.12890625,-1.44140625
0.0305,9.3291015625,-9.9697265625,0.560546875
0.031,7.927734375,-9.5693359375,1.6416015625
0.0315,6.5263671875,-9.76953125,3.3232421875
0.032,3.923828125,-9.4091796875,5.5654296875
0.0325,2.0419921875,-9.0087890625,7.0869140625
0.033,-0.240234375,-9.0888671875,9.2490234375
0.0335,-1.9619140625,-7.6474609375,9.7294921875
0.034,-3.1630859375,-6.6865234375,9.9697265625
0.0345,-5.7255859375,-4.5244140625,10.41015625
0.035,-7.5673828125,-2.2822265625,10.08984375
0.0355,-9.12890625,-0.3603515625,9.6494140625
