wavelength,x,y,z
0.0,3.5634765625,-1.8017578125,-2.322265625
0.0005,2.9228515625,-0.9208984375,-2.642578125
0.001,2.9228515625,-0.3203125,-3.203125
0.0015,2.2021484375,0.640625,-3.36328125
0.002,2.0419921875,1.28125,-3.8037109375
0.0025,1.361328125,1.921875,-3.7236328125
0.003,0.7607421875,2.482421875,-3.603515625
0.0035,0.0,2.8427734375,-3.203125
0.004,-0.80078125,3.3232421875,-2.9228515625
0.0045,-1.8017578125,3.603515625,-2.2021484375
0.005,-2.322265625,3.763671875,-1.841796875
0.0055,-3.0029296875,3.7236328125,-1.1611328125
0.006,-3.2431640625,3.3232421875,-0.5205078125
0.0065,-3.7236328125,3.1630859375,0.080078125
0.007,-3.8837890625,2.482421875,0.9208984375
0.0075,-4.244140625,2.2021484375,1.5615234375
0.008,-4.1240234375,1.4814453125,2.1220703125
0.0085,-4.00390625,0.80078125,2.6826171875
0.009,-3.36328125,-0.240234375,2.962890625
0.0095,-3.283203125,-0.8408203125,3.4833984375
0.01,-2.40234375,-1.8818359375,3.6435546875
0.0105,-2.162109375,-2.40234375,3.84375
0.011,-1.3212890625,-3.04296875,3.7236328125
0.0115,-0.640625,-3.4833984375,3.4833984375
0.012,0.1201171875,-3.84375,3.0830078125
0.0125,1.0810546875,-4.2041015625,2.482421875
0.013,2.0419921875,-4.484375,1.841796875
0.0135,2.482421875,-4.3642578125,1.28125
0.014,3.0830078125,-4.3642578125,0.640625
0.0145,3.2431640625,-3.7236328125,-0.1201171875
0.015,3.68359375,-3.5634765625,-0.640625
0.0155,3.763671875,-2.642578125,-1.6416015625
0.016,3.9638671875,-2.2822265625,-2.2021484375
0.0165,3.6435546875,-1.4814453125,-2.7626953125
0.017,3.4033203125,-0.720703125,-3.2431640625
0.0175,2.72265625,0.240234375,-3.4833984375
0.018,2.40234375,0.9609375,-3.84375
0.0185,1.6015625,1.9619140625,-4.0439453125
0.019,1.1611328125,2.40234375,-3.923828125
0.0195,0.400390625,3.04296875,-3.84375
0.02,-0.400390625,3.3232421875,-3.3232421875
0.0205,-1.1611328125,3.7236328125,-3.0029296875
0.021,-2.2822265625,3.9638671875,-2.1220703125
0.0215,-3.123046875,4.2041015625,-1.521484375
0.022,-3.4833984375,3.8037109375,-0.7607421875
0.0225,-4.0439453125,3.763671875,-0.16015625
0.023,-4.1240234375,3.0029296875,0.640625
0.0235,-4.404296875,2.72265625,1.201171875
0.024,-4.564453125,1.841796875,2.2421875
0.0245,-4.5244140625,1.28125,2.6826171875
0.025,-4.1640625,0.3203125,3.2431640625
0.0255,-3.7236328125,-0.5205078125,3.5634765625
0.026,-3.123046875,-1.3212890625,3.84375
0.0265,-2.5625,-2.1220703125,4.0439453125
0.027,-1.8017578125,-3.1630859375,4.32421875
0.0275,-1.0810546875,-3.443359375,3.8837890625
0.028,-0.400390625,-4.1240234375,3.84375
0.0285,0.560546875,-4.2841796875,3.123046875
0.029,1.28125,-4.64453125,2.72265625
0.0295,2.5224609375,-4.8447265625,1.76171875
0.03,3.203125,-4.96484375,1.12109375
0.0305,3.5634765625,-4.4443359375,0.2802734375
0.031,4.0439453125,-4.32421875,-0.3203125
0.0315,4.083984375,-3.4833984375,-1.1611328125
0.032,4.2841796875,-3.0029296875,-1.841796875
0.0325,4.5244140625,-2.1220703125,-2.962890625
0.033,4.1240234375,-1.361328125,-3.36328125
0.0335,3.8037109375,-0.48046875,-3.8837890625
0.034,3.123046875,0.560546875,-4.1240234375
0.0345,2.5224609375,1.361328125,-4.2841796875
0.035,1.76171875,2.2822265625,-4.4443359375
0.0355,1.0009765625,3.2431640625,-4.64453125
0.036,0.080078125,3.5234375,-3.923828125
0.0365,-0.6005859375,4.1240234375,-3.923828125
