wavelength,x,y,z
0.0,-11.4111328125,1.7216796875,9.9296875
0.0005,-11.8115234375,2.642578125,9.4091796875
0.001,-12.4521484375,4.484375,8.16796875
0.0015,-12.01171875,6.806640625,5.365234375
0.002,-11.69140625,8.7685546875,3.1630859375
0.0025,-11.611328125,10.9306640625,0.80078125
0.003,-9.689453125,10.8505859375,-1.1611328125
0.0035,-9.369140625,11.3310546875,-2.08203125
0.004,-6.88671875,11.0908203125,-4.5244140625
0.0045,-4.1640625,10.2900390625,-6.56640625
0.005,-1.921875,10.2900390625,-8.888671875
0.0055,0.80078125,9.3291015625,-10.6103515625
0.006,2.2421875,8.1279296875,-10.810546875
0.0065,3.68359375,7.447265625,-11.611328125
0.007,6.486328125,4.724609375,-11.611328125
0.0075,8.4482421875,2.322265625,-11.1708984375
0.008,11.1708984375,-0.3603515625,-11.2509765625
0.0085,11.8515625,-2.5625,-9.7294921875
0.009,12.091796875,-3.4833984375,-9.048828125
0.0095,12.6123046875,-5.765625,-7.3671875
0.01,12.091796875,-7.9677734375,-4.5244140625
0.0105,11.6513671875,-9.7294921875,-2.322265625
0.011,11.37109375,-11.771484375,0.2001953125
0.0115,9.369140625,-11.37109375,1.921875
0.012,8.7685546875,-11.5712890625,2.8427734375
0.0125,5.8857421875,-11.37109375,5.6455078125
0.013,3.2431640625,-10.5302734375,7.52734375
0.0135,0.7607421875,-10.3701171875,9.9296875
0.014,-1.8818359375,-9.2490234375,11.4111328125
0.0145,-3.04296875,-7.927734375,11.291015625
0.015,-4.8447265625,-6.806640625,11.8916015625
0.0155,-7.84765625,-3.84375,11.8916015625
0.016,-9.44921875,-1.6015625,11.2109375
0.0165,-11.931640625,0.9609375,11.2109375
0.017,-12.412109375,3.04296875,9.5693359375
0.0175,-12.4921875,4.2041015625,8.4482421875
0.018,-12.892578125,6.7265625,6.3662109375
0.0185,-12.2119140625,8.7685546875,3.68359375
0.019,-11.611328125,10.2099609375,1.6015625
0.0195,-11.1708984375,12.01171875,-0.880859375
0.02,-9.0087890625,11.37109375,-2.5224609375
0.0205,-8.0078125,11.4111328125,-3.6435546875
0.021,-4.9248046875,11.1708984375,-6.6064453125
0.0215,-2.5224609375,10.2099609375,-8.2080078125
0.022,0.0,9.9296875,-10.41015625
0.0225,2.40234375,8.728515625,-11.5712890625
0.023,3.5234375,7.3271484375,-11.37109375
0.0235,5.7255859375,5.7255859375,-11.8515625
0.024,8.4482421875,2.8427734375,-11.69140625
0.0245,9.849609375,0.6005859375,-10.810546875
0.025,12.01171875,-1.681640625,-10.7705078125
0.0255,12.2119140625,-3.7236328125,-9.0087890625
0.026,12.2119140625,-4.8447265625,-7.767578125
0.0265,12.4521484375,-7.4072265625,-5.4453125
0.027,11.7314453125,-9.048828125,-3.0830078125
0.0275,11.0908203125,-10.2900390625,-1.12109375
0.028,10.490234375,-11.8515625,1.201171875
0.0285,8.2880859375,-11.05078125,2.6826171875
0.029,7.0869140625,-11.05078125,4.083984375
0.0295,4.1240234375,-10.7705078125,6.88671875
0.03,1.9619140625,-9.9296875,8.248046875
