wavelength,x,y,z
0.0,0.2802734375,-5.1650390625,4.1640625
0.0005,0.9609375,-5.6455078125,3.9638671875
0.001,2.0419921875,-5.6455078125,2.8828125
0.0015,2.7626953125,-5.7255859375,2.2421875
0.002,4.1640625,-5.765625,0.9609375
0.0025,4.484375,-5.0849609375,0.0400390625
0.003,4.96484375,-4.8447265625,-0.720703125
0.0035,4.9248046875,-4.0439453125,-1.44140625
0.004,4.96484375,-3.36328125,-2.2021484375
0.0045,4.884765625,-2.2822265625,-3.1630859375
0.005,4.96484375,-1.3212890625,-4.1240234375
0.0055,4.0439453125,-0.16015625,-4.3642578125
0.006,3.923828125,0.6005859375,-4.96484375
0.0065,2.7626953125,1.6416015625,-4.8447265625
0.007,2.3623046875,2.322265625,-5.044921875
0.0075,1.12109375,3.603515625,-5.0849609375
0.008,0.16015625,4.1640625,-4.6845703125
0.0085,-0.720703125,4.564453125,-4.2041015625
0.009,-1.4814453125,4.884765625,-3.8037109375
0.0095,-2.5625,4.96484375,-2.802734375
0.01,-3.36328125,5.044921875,-2.08203125
0.0105,-4.64453125,5.125,-0.9609375
0.011,-4.8447265625,4.32421875,0.0400390625
0.0115,-5.3251953125,4.2841796875,0.640625
0.012,-5.28515625,3.3232421875,1.521484375
0.0125,-5.365234375,2.6826171875,2.2421875
0.013,-5.28515625,1.5615234375,3.2431640625
0.0135,-5.205078125,0.640625,4.083984375
0.014,-4.3642578125,-0.6005859375,4.3642578125
0.0145,-4.2041015625,-1.2412109375,4.8447265625
0.015,-3.04296875,-2.3623046875,4.7646484375
0.0155,-2.5224609375,-3.04296875,4.884765625
0.016,-1.3212890625,-4.244140625,4.8447265625
0.0165,-0.3203125,-4.724609375,4.2841796875
0.017,0.400390625,-5.125,3.9638671875
0.0175,1.28125,-5.365234375,3.3232421875
0.018,2.2421875,-5.365234375,2.5224609375
0.0185,3.0830078125,-5.365234375,1.6416015625
0.019,4.0439453125,-5.4052734375,0.720703125
0.0195,4.1640625,-4.564453125,-0.2001953125
0.02,4.6044921875,-4.5244140625,-0.640625
0.0205,4.484375,-3.4833984375,-1.6015625
0.021,4.5244140625,-2.9228515625,-2.2021484375
0.0215,4.5244140625,-1.841796875,-3.203125
0.022,4.2841796875,-1.0009765625,-3.763671875
0.0225,3.6435546875,0.0400390625,-4.1240234375
0.023,3.3232421875,0.640625,-4.4443359375
0.0235,2.40234375,1.6416015625,-4.484375
0.024,1.921875,2.322265625,-4.6044921875
0.0245,0.9208984375,3.36328125,-4.64453125
0.025,0.0,3.68359375,-4.00390625
0.0255,-0.6005859375,4.1640625,-4.00390625
0.026,-1.6015625,4.3642578125,-3.123046875
0.0265,-2.40234375,4.564453125,-2.5625
0.027,-3.36328125,4.5244140625,-1.6015625
0.0275,-4.083984375,4.5244140625,-0.880859375
0.028,-4.32421875,3.8837890625,0.0
0.0285,-4.6845703125,3.84375,0.4404296875
0.029,-4.6845703125,2.8427734375,1.4013671875
0.0295,-4.8046875,2.3623046875,1.9619140625
0.03,-4.884765625,1.3212890625,3.04296875
0.0305,-4.484375,0.4404296875,3.4833984375
0.031,-4.0439453125,-0.5205078125,4.00390625
0.0315,-3.5634765625,-1.2412109375,4.1640625
0.032,-2.802734375,-2.2021484375,4.3642578125
0.0325,-2.08203125,-2.962890625,4.32421875
0.033,-1.2412109375,-3.8837890625,4.32421875
0.0335,-0.3203125,-4.1240234375,3.7236328125
0.034,0.16015625,-4.564453125,3.7236328125
0.0345,1.28125,-4.64453125,2.72265625
0.035,1.921875,-4.8447265625,2.2822265625
0.0355,2.8427734375,-4.8447265625,1.3212890625
0.036,3.3232421875,-4.6044921875,0.6806640625
0.0365,3.5634765625,-4.1240234375,0.0
0.037,3.8037109375,-3.923828125,-0.48046875
0.0375,3.84375,-3.0830078125,-1.3212890625
0.038,3.8837890625,-2.5625,-1.921875
0.0385,4.00390625,-1.76171875,-2.802734375
0.039,3.443359375,-0.880859375,-3.0830078125
0.0395,3.36328125,-0.240234375,-3.6435546875
0.04,2.6826171875,0.6005859375,-3.7236328125
0.0405,2.322265625,1.28125,-4.083984375
0.041,1.5615234375,2.0419921875,-4.0439453125
0.0415,0.9208984375,2.6826171875,-4.0439453125
0.042,0.16015625,3.0830078125,-3.603515625
0.0425,-0.3603515625,3.5634765625,-3.603515625
0.043,-1.361328125,3.68359375,-2.72265625
0.0435,-2.0419921875,4.00390625,-2.40234375
0.044,-2.962890625,4.083984375,-1.521484375
0.0445,-3.283203125,3.8037109375,-0.9208984375
0.045,-3.763671875,3.68359375,-0.3603515625
0.0455,-3.8837890625,3.2431640625,0.240234375
0.046,-4.1640625,2.72265625,1.0009765625
0.0465,-4.2041015625,2.0419921875,1.76171875
0.047,-4.404296875,1.4013671875,2.5224609375
0.0475,-3.8037109375,0.4404296875,2.8427734375
0.048,-3.8837890625,-0.16015625,3.4833984375
0.0485,-3.0830078125,-1.1611328125,3.5634765625
0.049,-2.802734375,-1.841796875,3.9638671875
0.0495,-1.921875,-2.72265625,3.8837890625
0.05,-1.28125,-3.203125,3.84375
0.0505,-0.6005859375,-3.603515625,3.5234375
0.051,0.1201171875,-4.00390625,3.2431640625
0.0515,1.0810546875,-4.244140625,2.5224609375
0.052,1.76171875,-4.4443359375,2.0419921875
0.0525,2.5224609375,-4.484375,1.3212890625
0.053,2.802734375,-4.0439453125,0.6806640625
0.0535,3.203125,-4.0439453125,0.2802734375
0.054,3.2431640625,-3.36328125,-0.48046875
0.0545,3.5634765625,-3.04296875,-1.12109375
0.055,3.5234375,-2.2021484375,-1.921875
0.0555,3.5634765625,-1.6416015625,-2.482421875
0.056,3.04296875,-0.7607421875,-2.8427734375
0.0565,3.123046875,-0.3203125,-3.2431640625
0.057,2.322265625,0.6005859375,-3.443359375
0.0575,2.08203125,1.2412109375,-3.8037109375
0.058,1.28125,2.0419921875,-3.8037109375
0.0585,0.6806640625,2.482421875,-3.5634765625
0.059,0.16015625,2.962890625,-3.5234375
0.0595,-0.6806640625,3.2431640625,-2.9228515625
0.06,-1.44140625,3.5634765625,-2.5625
0.0605,-2.2021484375,3.68359375,-1.921875
0.061,-2.7626953125,3.763671875,-1.4013671875
0.0615,-3.0830078125,3.36328125,-0.7607421875
0.062,-3.5634765625,3.4833984375,-0.400390625
0.0625,-3.6435546875,2.72265625,0.48046875
0.063,-3.9638671875,2.4423828125,1.0810546875
0.0635,-4.0439453125,1.6015625,1.921875
0.064,-3.8837890625,1.0009765625,2.40234375
0.0645,-3.6435546875,0.1201171875,2.9228515625
0.065,-3.36328125,-0.5205078125,3.2431640625
0.0655,-2.802734375,-1.44140625,3.5634765625
0.066,-2.322265625,-2.08203125,3.763671875
0.0665,-1.6416015625,-2.8427734375,3.84375
0.067,-0.9609375,-3.1630859375,3.4833984375
0.0675,-0.400390625,-3.7236328125,3.5234375
0.068,0.6005859375,-3.8837890625,2.6826171875
0.0685,1.28125,-4.2841796875,2.322265625
0.069,2.0419921875,-4.244140625,1.5615234375
0.0695,2.5625,-4.2041015625,1.12109375
0.07,2.802734375,-3.84375,0.4404296875
0.0705,3.123046875,-3.7236328125,0.0400390625
0.071,3.3232421875,-3.04296875,-0.8408203125
0.0715,3.443359375,-2.6025390625,-1.44140625
0.072,3.5234375,-1.8017578125,-2.2822265625
0.0725,3.1630859375,-1.1611328125,-2.6025390625
0.073,3.04296875,-0.5205078125,-3.123046875
0.0735,2.5224609375,0.2802734375,-3.36328125
0.074,2.1220703125,1.12109375,-3.7236328125
0.0745,1.521484375,1.76171875,-3.7236328125
0.075,0.9208984375,2.4423828125,-3.7236328125
0.0755,0.240234375,2.72265625,-3.36328125
0.076,-0.3603515625,3.2431640625,-3.283203125
0.0765,-1.4013671875,3.443359375,-2.4423828125
0.077,-2.08203125,3.763671875,-2.08203125
0.0775,-2.802734375,3.7236328125,-1.3212890625
0.078,-3.1630859375,3.5234375,-0.80078125
0.0785,-3.5234375,3.36328125,-0.2802734375
0.079,-3.68359375,2.9228515625,0.3203125
0.0795,-4.00390625,2.3623046875,1.201171875
0.08,-4.00390625,1.7216796875,1.8017578125
0.0805,-4.1240234375,0.9609375,2.5625
0.081,-3.5634765625,0.080078125,2.8828125
0.0815,-3.5634765625,-0.5205078125,3.4033203125
0.082,-2.72265625,-1.4814453125,3.5634765625
0.0825,-2.322265625,-2.2421875,3.923828125
0.083,-1.4814453125,-2.8828125,3.763671875
0.0835,-0.9208984375,-3.5234375,3.763671875
0.084,-0.2001953125,-3.8037109375,3.283203125
0.0845,0.560546875,-4.2041015625,3.0029296875
0.085,1.7216796875,-4.4443359375,2.1220703125
0.0855,2.2822265625,-4.484375,1.5615234375
0.086,3.0029296875,-4.4443359375,0.8408203125
0.0865,3.203125,-4.00390625,0.240234375
0.087,3.5234375,-3.8037109375,-0.3203125
0.0875,3.603515625,-3.04296875,-1.1611328125
0.088,3.84375,-2.4423828125,-1.9619140625
0.0885,3.6435546875,-1.6416015625,-2.5625
0.089,3.603515625,-0.9609375,-3.2431640625
0.0895,2.9228515625,0.0,-3.36328125
0.09,2.802734375,0.6005859375,-3.8037109375
0.0905,1.841796875,1.7216796875,-3.923828125
0.091,1.3212890625,2.322265625,-4.0439453125
0.0915,0.48046875,2.962890625,-3.84375
0.092,-0.16015625,3.36328125,-3.6435546875
0.0925,-0.8408203125,3.6435546875,-3.203125
0.093,-1.76171875,3.923828125,-2.5625
0.0935,-2.8828125,4.1640625,-1.7216796875
0.094,-3.36328125,3.8837890625,-1.0009765625
0.0945,-3.9638671875,3.8837890625,-0.400390625
0.095,-4.0439453125,3.283203125,0.2802734375
0.0955,-4.32421875,3.04296875,0.7607421875
0.096,-4.404296875,2.08203125,1.8017578125
0.0965,-4.5244140625,1.44140625,2.5224609375
0.097,-4.1640625,0.48046875,3.123046875
0.0975,-4.00390625,-0.2001953125,3.6435546875
0.098,-3.2431640625,-1.12109375,3.8037109375
0.0985,-2.962890625,-1.76171875,4.1240234375
0.099,-1.9619140625,-2.962890625,4.2841796875
0.0995,-1.2412109375,-3.4833984375,4.083984375
0.1,-0.48046875,-4.1240234375,3.923828125
0.1005,0.240234375,-4.404296875,3.5234375
0.101,0.9609375,-4.64453125,3.04296875
0.1015,2.0419921875,-4.8447265625,2.2021484375
0.102,3.123046875,-5.0849609375,1.28125
0.1025,3.4833984375,-4.5244140625,0.48046875
0.103,4.0439453125,-4.5244140625,-0.080078125
0.1035,4.00390625,-3.7236328125,-0.8408203125
0.104,4.2041015625,-3.36328125,-1.4013671875
0.1045,4.32421875,-2.322265625,-2.5625
0.105,4.244140625,-1.6015625,-3.203125
0.1055,3.8037109375,-0.5205078125,-3.8037109375
0.106,3.4833984375,0.240234375,-4.1640625
0.1065,2.6826171875,1.12109375,-4.244140625
0.107,2.2021484375,1.921875,-4.5244140625
0.1075,1.201171875,3.1630859375,-4.6845703125
0.108,0.2802734375,3.5234375,-4.1640625
