wavelength,x,y,z
0.0,-3.1630859375,3.84375,-0.8408203125
0.0005,-3.36328125,3.4033203125,0.0
0.001,-3.84375,2.962890625,0.6005859375
0.0015,-3.923828125,2.001953125,1.6416015625
0.002,-4.00390625,1.5615234375,2.2021484375
0.0025,-3.84375,0.7607421875,2.8427734375
0.003,-3.4833984375,0.0400390625,3.203125
0.0035,-3.283203125,-0.6005859375,3.68359375
0.004,-2.642578125,-1.44140625,3.8837890625
0.0045,-2.08203125,-2.2021484375,4.1240234375
0.005,-1.28125,-2.6826171875,3.84375
0.0055,-0.5205078125,-3.3232421875,3.8037109375
0.006,0.2802734375,-3.603515625,3.2431640625
0.0065,0.9208984375,-4.083984375,3.123046875
0.007,1.921875,-4.1640625,2.2021484375
0.0075,2.40234375,-4.244140625,1.841796875
0.008,2.9228515625,-4.00390625,1.12109375
0.0085,3.443359375,-3.68359375,0.560546875
0.009,3.6435546875,-3.36328125,-0.2001953125
0.0095,3.8837890625,-2.8427734375,-1.0009765625
0.01,4.083984375,-2.0419921875,-1.921875
0.0105,4.00390625,-1.44140625,-2.4423828125
0.011,3.8837890625,-0.6806640625,-3.0830078125
0.0115,3.5234375,0.0,-3.36328125
0.012,3.4033203125,0.6005859375,-3.8837890625
0.0125,2.642578125,1.521484375,-4.083984375
0.013,2.2021484375,2.162109375,-4.2841796875
0.0135,1.28125,2.6826171875,-3.923828125
0.014,0.6005859375,3.203125,-3.84375
0.0145,-0.2001953125,3.5234375,-3.36328125
0.015,-0.880859375,3.8837890625,-3.0830078125
0.0155,-1.8017578125,3.9638671875,-2.2822265625
0.016,-2.2021484375,3.923828125,-1.8818359375
0.0165,-2.6826171875,3.84375,-1.2412109375
0.017,-3.0830078125,3.443359375,-0.560546875
0.0175,-3.5234375,3.123046875,0.1201171875
0.018,-3.68359375,2.4423828125,1.0009765625
0.0185,-3.8837890625,1.921875,1.7216796875
0.019,-3.7236328125,1.2412109375,2.2421875
0.0195,-3.68359375,0.6005859375,2.8427734375
0.02,-3.2431640625,-0.080078125,3.1630859375
0.0205,-3.0830078125,-0.6806640625,3.603515625
0.021,-2.3623046875,-1.6015625,3.8037109375
0.0215,-1.8818359375,-2.1220703125,3.8837890625
0.022,-1.0009765625,-2.72265625,3.68359375
0.0225,-0.3603515625,-3.203125,3.4833984375
0.023,0.3603515625,-3.603515625,3.1630859375
0.0235,1.12109375,-3.8837890625,2.6826171875
0.024,1.921875,-4.083984375,2.162109375
0.0245,2.2822265625,-3.923828125,1.841796875
0.025,2.8828125,-3.923828125,1.0810546875
0.0255,3.1630859375,-3.4833984375,0.3203125
0.026,3.603515625,-3.203125,-0.3203125
0.0265,3.7236328125,-2.3623046875,-1.2412109375
0.027,3.9638671875,-1.9619140625,-1.921875
0.0275,3.7236328125,-1.201171875,-2.4423828125
0.028,3.68359375,-0.640625,-2.962890625
0.0285,3.36328125,0.080078125,-3.36328125
0.029,3.123046875,0.7607421875,-3.763671875
0.0295,2.482421875,1.5615234375,-4.0439453125
