wavelength,x,y,z
0.0,2.5224609375,0.9208984375,-3.8037109375
0.0005,2.72265625,0.3603515625,-3.5634765625
0.001,2.9228515625,-0.240234375,-3.203125
0.0015,3.0830078125,-1.041015625,-2.6025390625
0.002,3.1630859375,-1.681640625,-1.9619140625
0.0025,3.1630859375,-2.2021484375,-1.44140625
0.003,3.1630859375,-2.72265625,-1.0009765625
0.0035,2.802734375,-2.9228515625,-0.400390625
0.004,2.2021484375,-3.123046875,0.3603515625
0.0045,1.6416015625,-3.36328125,1.1611328125
0.005,1.041015625,-3.36328125,1.8017578125
0.0055,0.640625,-3.4033203125,2.2421875
0.006,0.16015625,-3.203125,2.5625
0.0065,-0.48046875,-2.8828125,2.802734375
0.007,-1.3212890625,-2.2822265625,3.0029296875
0.0075,-1.921875,-1.7216796875,3.123046875
0.008,-2.322265625,-1.28125,3.04296875
0.0085,-2.72265625,-0.9609375,3.0830078125
0.009,-2.8828125,-0.48046875,2.6826171875
0.0095,-3.0029296875,0.2001953125,2.2421875
0.01,-3.203125,0.9609375,1.76171875
0.0105,-3.203125,1.5615234375,1.201171875
0.011,-3.203125,2.001953125,0.7607421875
0.0115,-3.1630859375,2.4423828125,0.2802734375
0.012,-2.8427734375,2.6826171875,-0.2802734375
0.0125,-2.2822265625,2.8427734375,-1.041015625
0.013,-1.76171875,3.04296875,-1.7216796875
0.0135,-1.2412109375,3.04296875,-2.2822265625
0.014,-0.8408203125,3.1630859375,-2.7626953125
0.0145,-0.3203125,2.9228515625,-3.0830078125
0.015,0.3203125,2.5625,-3.283203125
0.0155,1.0810546875,2.08203125,-3.5634765625
0.016,1.681640625,1.5615234375,-3.6435546875
0.0165,2.1220703125,1.12109375,-3.7236328125
0.017,2.5224609375,0.640625,-3.6435546875
0.0175,2.6826171875,0.1201171875,-3.36328125
0.018,2.8427734375,-0.5205078125,-2.802734375
0.0185,3.04296875,-1.201171875,-2.3623046875
0.019,3.0830078125,-1.841796875,-1.76171875
0.0195,3.1630859375,-2.322265625,-1.3212890625
0.02,2.9228515625,-2.642578125,-0.80078125
0.0205,2.6025390625,-2.9228515625,-0.2001953125
0.021,2.001953125,-3.1630859375,0.640625
0.0215,1.4013671875,-3.283203125,1.28125
0.022,0.9609375,-3.3232421875,1.8818359375
0.0225,0.560546875,-3.36328125,2.322265625
0.023,0.0,-3.0830078125,2.5625
0.0235,-0.80078125,-2.5625,2.8427734375
0.024,-1.4814453125,-2.08203125,3.0830078125
0.0245,-2.08203125,-1.6416015625,3.0830078125
0.025,-2.4423828125,-1.2412109375,3.0830078125
0.0255,-2.7626953125,-0.720703125,2.8828125
