wavelength,x,y,z
0.0,-0.80078125,3.443359375,-3.04296875
0.0005,-0.48046875,3.36328125,-3.36328125
0.001,0.1201171875,2.802734375,-3.36328125
0.0015,0.880859375,2.2421875,-3.5234375
0.002,1.76171875,1.5615234375,-3.7236328125
0.0025,2.482421875,1.12109375,-4.00390625
0.003,2.802734375,0.80078125,-4.00390625
0.0035,2.8427734375,0.400390625,-3.68359375
0.004,2.8427734375,-0.2001953125,-3.0830078125
0.0045,2.8828125,-1.041015625,-2.322265625
0.005,3.123046875,-1.841796875,-1.8017578125
0.0055,3.36328125,-2.5625,-1.3212890625
0.006,3.3232421875,-2.8828125,-1.0009765625
0.0065,2.802734375,-2.8828125,-0.4404296875
0.007,2.2021484375,-2.962890625,0.2802734375
0.0075,1.44140625,-3.203125,1.28125
0.008,1.0009765625,-3.6435546875,1.9619140625
0.0085,0.560546875,-3.7236328125,2.5625
0.009,0.16015625,-3.5234375,2.802734375
0.0095,-0.560546875,-2.8427734375,2.8427734375
0.01,-1.4013671875,-2.162109375,3.0029296875
0.0105,-2.2822265625,-1.5615234375,3.203125
0.011,-2.8828125,-1.1611328125,3.5234375
0.0115,-3.04296875,-0.8408203125,3.3232421875
0.012,-2.962890625,-0.3603515625,2.8427734375
0.0125,-2.962890625,0.2802734375,2.2421875
0.013,-3.123046875,1.201171875,1.44140625
0.0135,-3.36328125,1.921875,1.0009765625
0.014,-3.4833984375,2.482421875,0.560546875
0.0145,-3.2431640625,2.6025390625,0.240234375
0.015,-2.642578125,2.6025390625,-0.400390625
0.0155,-2.001953125,2.802734375,-1.1611328125
0.016,-1.44140625,2.9228515625,-2.162109375
0.0165,-1.0009765625,3.3232421875,-2.8427734375
0.017,-0.640625,3.3232421875,-3.203125
0.0175,-0.16015625,3.04296875,-3.283203125
0.018,0.6005859375,2.4423828125,-3.4033203125
0.0185,1.44140625,1.76171875,-3.5634765625
0.019,2.162109375,1.2412109375,-3.84375
0.0195,2.6826171875,0.9208984375,-4.00390625
0.02,2.8427734375,0.6005859375,-3.84375
0.0205,2.72265625,0.080078125,-3.203125
0.021,2.802734375,-0.640625,-2.642578125
0.0215,3.0029296875,-1.521484375,-1.9619140625
0.022,3.2431640625,-2.2421875,-1.4814453125
0.0225,3.2431640625,-2.642578125,-1.12109375
0.023,3.0029296875,-2.802734375,-0.6806640625
0.0235,2.40234375,-2.8427734375,0.0
0.024,1.6015625,-3.1630859375,0.80078125
0.0245,1.1611328125,-3.36328125,1.6015625
0.025,0.7607421875,-3.7236328125,2.322265625
0.0255,0.400390625,-3.5634765625,2.642578125
0.026,-0.16015625,-3.0830078125,2.6826171875
0.0265,-0.9208984375,-2.5224609375,2.8828125
0.027,-1.8017578125,-1.841796875,3.1630859375
0.0275,-2.5224609375,-1.44140625,3.4033203125
0.028,-2.8828125,-1.041015625,3.4033203125
0.0285,-2.962890625,-0.6806640625,3.1630859375
0.029,-2.9228515625,0.0,2.482421875
0.0295,-3.04296875,0.720703125,1.841796875
0.03,-3.283203125,1.5615234375,1.28125
0.0305,-3.5234375,2.2421875,0.8408203125
0.031,-3.36328125,2.5224609375,0.4404296875
0.0315,-2.962890625,2.6025390625,0.0
0.032,-2.40234375,2.6025390625,-0.80078125
0.0325,-1.6416015625,2.8828125,-1.76171875
0.033,-1.1611328125,3.203125,-2.642578125
0.0335,-0.80078125,3.443359375,-3.0830078125
0.034,-0.400390625,3.203125,-3.2431640625
0.0345,0.2802734375,2.6025390625,-3.283203125
0.035,1.12109375,2.001953125,-3.5234375
0.0355,1.921875,1.4013671875,-3.763671875
0.036,2.5224609375,1.041015625,-4.00390625
0.0365,2.7626953125,0.640625,-3.84375
0.037,2.7626953125,0.2802734375,-3.4833984375
0.0375,2.72265625,-0.400390625,-2.802734375
0.038,2.8427734375,-1.2412109375,-2.1220703125
0.0385,3.123046875,-2.001953125,-1.6416015625
0.039,3.283203125,-2.5625,-1.2412109375
0.0395,3.04296875,-2.72265625,-0.8408203125
0.04,2.5224609375,-2.8427734375,-0.3603515625
0.0405,1.921875,-2.962890625,0.48046875
0.041,1.2412109375,-3.36328125,1.4013671875
0.0415,0.9208984375,-3.5234375,2.08203125
